pc,dc,ctrl,wtopt,coef,p
leaners,very,none,weighted,0.6084690874441948,2.273307028385375e-11
leaners,very,none,unweighted,0.6419859949483941,3.595463031143357e-16
leaners,very,age,weighted,0.5589445064268962,2.6283739489637144e-9
leaners,very,age,unweighted,0.6225938796545248,8.408185690362493e-15
leaners,very,agesq,weighted,0.5575060187347324,1.985001044422576e-9
leaners,very,agesq,unweighted,0.6209188561558745,1.1420134090144912e-14
leaners,extreme,none,weighted,0.5542011168458669,4.032530017142617e-7
leaners,extreme,none,unweighted,0.6961952549939373,1.896067526973957e-9
leaners,extreme,age,weighted,0.5097930140301766,4.2174717416853595e-6
leaners,extreme,age,unweighted,0.6953853135968225,4.068589618783378e-9
leaners,extreme,agesq,weighted,0.5104149094999225,5.675272487653884e-6
leaners,extreme,agesq,unweighted,0.696098807395436,4.2188748106844655e-9
strong,very,none,weighted,0.9232758425033779,2.9970765912187477e-9
strong,very,none,unweighted,0.8845437244978367,3.24269876569146e-14
strong,very,age,weighted,0.8548436458435741,8.846393005283616e-8
strong,very,age,unweighted,0.8658928250730018,3.61060516390734e-13
strong,very,agesq,weighted,0.8460849140476482,2.0782702143740717e-7
strong,very,agesq,unweighted,0.8608751916097633,5.289588894126951e-13
strong,extreme,none,weighted,0.6458970815736019,9.990233746659338e-4
strong,extreme,none,unweighted,0.8047231182498914,1.1566272314178465e-6
strong,extreme,age,weighted,0.6404126578755304,0.0018795633217228633
strong,extreme,age,unweighted,0.8460142678394573,6.935129511836906e-7
strong,extreme,agesq,weighted,0.638652982082548,0.0021418968212823398
strong,extreme,agesq,unweighted,0.8435649433186585,7.521609157039522e-7
