question_id,lag,cf,diff,pers,CVI
2012_02_07_rent_control_A,3,3,3,3,12
2015_09_22_15_minimum_wage_A,2,3,2,3,10
2015_09_22_15_minimum_wage_B,2,3,3,3,11
2016_11_16_100_day_plan_A,3,3,3,3,12
2016_11_16_100_day_plan_B,3,3,3,3,12
2021_01_13_after_brexit_A,3,3,3,3,12
2021_01_13_after_brexit_B,3,3,3,3,12
2026_01_29_aca_subsidies_A,1,2,1,1,5
2026_01_29_aca_subsidies_B,2,3,3,2,10
2026_01_29_aca_subsidies_C,2,1,2,3,8
2026_05_13_ai_work_and_education_A,3,3,3,2,11
2026_05_13_ai_work_and_education_B,3,3,3,2,11
2026_05_13_ai_work_and_education_C,3,2,3,3,11
2026_05_22_america_versus_europe_A,1,1,1,2,5
2026_05_22_america_versus_europe_B,1,1,1,2,5
2026_06_03_permanent_residency_rules_A,1,2,1,2,6
2026_06_03_permanent_residency_rules_B,2,2,2,2,8
