year,polz,polz_s
1873,0.6666666666666667,0.6666666666666667
1874,-0.10208983905837132,0.2822884138041477
1875,-0.10997267759562845,0.151534716670889
1876,0.3043755310110451,0.189744920255928
1877,0.08924485125858128,0.16964490645645866
1878,-0.11414392059553347,0.013482789004018624
1879,0.15875503806538294,0.06565176442876948
1880,0.05901567944250874,0.09944943583639691
1881,0.007583417593528763,0.04009101315289365
1882,-0.0015129975049814615,0.021939443400181103
1883,-0.15582329317269084,0.013603568884749628
1884,0.07300933295876644,-0.0035455721365736715
1885,0.13822815533980581,0.012296923042885743
1886,0.06211180124223603,0.023202599772627196
1887,0.13303571428571426,0.05011234213076634
1888,-0.04040437932203056,0.0731961249008984
1889,-0.09836065573770492,0.03892212716160413
1890,0.026843690091667205,0.016645234111976402
1891,0.027370478983382296,0.009696969660205657
1892,0.23418444419881357,0.029926715642825518
1893,0.12624738451633677,0.06325706841049898
1894,-0.08847243045144104,0.06523471346775175
1895,0.17747747747747755,0.09536147094491383
1896,0.059859154929577496,0.10185920613415286
1897,-0.07820753872325192,0.03938080954973977
1898,-0.006045063198388045,0.012922320006794807
1899,-0.09459992116673233,0.01169682186373655
1900,-0.0470416236670107,-0.0332069983651611
1901,-0.031275060144346334,-0.05143384137994587
1902,-0.03093608640520873,-0.041979550916337226
1903,-0.08901098901098903,-0.05857273607885742
1904,-0.241229284499466,-0.08789860874540416
1905,-0.14030048608042434,-0.10655038122808688
1906,-0.08634733719952181,-0.11756483663912198
1907,-0.106951871657754,-0.13276799368963105
1908,-0.04375029446407541,-0.12371585478024831
1909,-0.1417041766984194,-0.10381083322003899
1910,-0.05374610815465808,-0.08649995763488574
1911,0.06310005783689998,-0.05661047862760138
1912,-0.022940113633889814,-0.03980812702282854
1913,0.03440469121140144,-0.024177129887733174
1914,-0.04050562009554426,-0.003937418567158147
1915,-0.006237167318792869,0.005564369600014896
1916,-0.01806599832915623,-0.010668841633196346
1917,-0.05823303726283702,-0.017727426358985787
1918,-0.06072260835288401,-0.03675288627184288
1919,-0.04194609924018122,-0.03704098210077027
1920,-0.029158235532173116,-0.04162519574344632
1921,-0.05601077886555905,-0.04921415185072688
1922,-0.05447726207219872,-0.048462996812599225
1923,-0.008333333333333415,-0.0379851418086891
1924,0.011643284929034436,-0.027267264974845974
1925,-0.0286799490538574,-0.02717160767918283
1926,0.04349589141711685,-0.007270273622647649
1927,-0.022510398825544398,-8.769009733167854e-4
1928,0.003867937560436463,0.0015633532054371902
1929,-0.07263432170014517,-0.015292168120398731
1930,-0.05726647206005009,-0.02100947272163727
1931,-0.03361292326809562,-0.03643123565867976
1932,-0.014086192454313862,-0.03474639438443365
1933,0.06787867985622198,-0.02194424592527655
1934,-0.006037821827295509,-0.00862494595070662
1935,-0.14010976197509373,-0.025193603933715347
1936,-0.020582805429864237,-0.02258758036606907
1937,-0.021048898346411327,-0.023980121544488565
1938,-0.038089666215051166,-0.04517379075874319
1939,0.07685413728255763,-0.028595398936772563
1940,0.030146059782608647,0.0054557654147679106
1941,-0.0012462285189558386,0.00932308079694959
1942,0.005393822964386064,0.014611625059109068
1943,0.008299999999999974,0.023889558302119297
1944,-0.01948051948051943,0.004622626949503883
1945,0.024842820730671233,0.0035619791391164
1946,-0.03180162510507145,-0.0025491001781067224
1947,0.09805309734513279,0.015982754698042622
1948,-0.013157146916737639,0.0116913253146951
1949,0.13660177897825165,0.04290778500644932
1950,0.1266370638643537,0.06326663363318581
1951,-0.03996140421179184,0.06163467781184173
1952,0.014073928944618563,0.044838844131738886
1953,0.005728764365798389,0.048616026388246095
1954,-0.13737255334335308,-0.006178840076074854
1955,0.025234140977514863,-0.02645942465344262
1956,0.08083964414381306,-0.00229921498232164
1957,-0.02164927398099592,-0.009443855567444537
1958,-0.013786554016439023,-0.01334691924389202
1959,0.0409236134977915,0.022312314124336895
1960,-0.020054476743661453,0.013254590580101634
1961,-0.014136020151133577,-0.005740542278887695
1962,-0.0069867092744571035,-0.0028080293375799315
1963,-0.013509171855636826,-0.002752552905419492
1964,0.04733202357563848,-0.0014708708898500955
1965,0.03733991626951605,0.010008007712785405
1966,0.10324673218513825,0.03348455818003977
1967,0.24913854261680357,0.0847096085582919
1968,0.2539389949528199,0.13819924191998326
1969,0.09001105277701016,0.1467350477602576
1970,0.16015124879763842,0.17129731426588207
1971,0.06445623342175066,0.16353921451320455
1972,0.03189356661199194,0.12009021931224222
1973,0.03335647344671977,0.0759737150110222
1974,0.11603814405538548,0.08117913326669726
1975,0.08720470712215667,0.0665898249316009
1976,-0.055162819007869235,0.04266601444567693
1977,0.15906374501992038,0.06810005012726261
1978,0.14508196721311473,0.0904451488805416
1979,0.10257423135163601,0.08775236633979171
1980,0.22156593406593394,0.11462461172854717
