country,gap_right_minus_left,enp,salient_antiimmig_party,n
FR,0.276,2.8,1,1463
CH,0.222,5.6,1,482
SI,0.209,4.2,1,458
BE,0.166,8.4,1,1452
GB,0.134,2.6,0,587
DK,0.128,5.2,1,1069
HR,0.099,3.6,0,363
LV,0.086,5.0,0,385
US,0.085,2.0,0,758
ES,0.085,2.6,0,561
NO,0.08,4.4,1,1202
DE,0.077,3.5,0,1075
IS,0.071,3.8,0,707
IN,0.062,5.0,0,988
HU,0.044,2.6,1,525
FI,0.04,5.8,1,692
KR,0.034,2.3,0,1087
SK,0.029,4.0,0,620
SE,0.018,4.5,1,893
RU,0.016,2.8,0,925
TR,-0.003,2.5,0,1182
LT,-0.008,5.5,0,508
JP,-0.017,2.4,0,684
MX,-0.073,3.0,0,682
EE,-0.107,4.4,0,398
CZ,-0.132,4.5,0,1102
