year,public_gap,elite_now,elite_lag10,elite_lag15,gap_lag
2004,0.09439366984238634,0.30235233236585174,0.24153007721178343,0.1949081536094252,NA
2006,0.16232235720275645,0.35343232958539544,0.29963038232698563,0.16361725065507918,0.09439366984238634
2008,0.06948342169204369,0.47536789311963934,0.26766008689419507,0.19271786952454098,0.16232235720275645
2010,0.15417398093764034,0.5853252067755074,0.26483763242589603,0.26431790788472187,0.06948342169204369
2012,0.10788174202164535,0.6461442247717545,0.29325809549885257,0.3007235854200141,0.15417398093764034
2014,0.20853650351982506,0.6857558611210209,0.30235233236585174,0.24685847936942457,0.10788174202164535
2016,0.3297093645262133,0.6519141981565497,0.35343232958539544,0.2878721986804107,0.20853650351982506
2018,0.2980497764182225,0.6463139375159503,0.47536789311963934,0.2774725414735244,0.3297093645262133
2021,0.38120890980849265,0.682703712679816,0.6351455099829022,0.35343232958539544,0.2980497764182225
2022,0.39164436781924594,0.682703712679816,0.6461442247717545,0.4106658525592305,0.38120890980849265
2024,0.46362541475373886,0.682703712679816,0.6857558611210209,0.5364904047977064,0.39164436781924594
