Last Name,First Name,Use of artificial intelligence over the next ten years will lead to a substantial increase in the unemployment rates in advanced countries.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Use of artificial intelligence over the next ten years will have a negative impact on the earnings potential of substantial numbers of high-skilled workers in advanced countries.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Use of artificial intelligence over the next ten years will lead to substantially greater uncertainty about the likely returns to investment in education.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,"I interpret use of AI to refer to current AI design and deployment practices. Fundamentally, such effects depend on choices made by AI companies (and businesses). There is a pro-worker AI path that would not lead to such unemployment effects, but that's not what is pursued.",Uncertain,4,"There are many claims that AI will impact high-skill workers. The evidence outside of coding is scant. AI will displace customer service and many other service workers. If displaced, high-skill workers may be able to adapt better to AI and take jobs away from low-skill workers.",Agree,4,"This is true even if AI does not affect high-skill workers adversely. AI is creating huge uncertainty about the labor market and jobs, and this will impact education.  AI in classrooms is also impacting human cognition and creating uncertainty about how student learning."
Aguiar,Mark,Disagree,3,,Uncertain,3,,Agree,3,
Altonji,Joseph,Uncertain,3,,Agree,5,,Agree,5,
Auerbach,Alan,Disagree,5,,Uncertain,5,,Uncertain,5,
Autor,David,Disagree,5,,Uncertain,5,,Agree,8,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Uncertain,6,,Agree,7,,Agree,7,
Bertrand,Marianne,Agree,2,,Strongly Agree,7,,Strongly Agree,7,
Brunnermeier,Markus,Uncertain,9,,Agree,9,,Strongly Agree,10,
Chevalier,Judith,Uncertain,8,,Agree,4,Agree but tricky to tell WHICH workers. ,Agree,7,Agree esp if we are talking about very specific types of education such as law school as opposed to more general purpose education. 
Cutler,David,Uncertain,1,,Agree,4,,Agree,4,
Duffie,Darrell,Uncertain,2,,Agree,2,,Agree,2,
Edlin,Aaron,Uncertain,6,It is too early to know.  Past technological innovations have not.  But this time could be different. ,Uncertain,1,,Agree,1,
Eichengreen,Barry,Disagree,5,,Disagree,5,,Disagree,5,
Einav,Liran,Uncertain,1,,Agree,1,,Agree,1,
Fair,Ray,Uncertain,5,,Uncertain,5,,Uncertain,5,
Glaeser,Edward,Uncertain,8,,Uncertain,8,,Disagree,6,
Goldberg,Pinelopi,Uncertain,8,,Uncertain,8,,Agree,8,
Greenstone,Michael,Uncertain,3,,Agree,4,,Uncertain,3,
Hart,Oliver,Disagree,6,There will be substantial dislocation but I think people will find other jobs when AI is a substitute for what they are doing and in other cases it will be a complement.,Disagree,6,,Disagree,6,
Hoxby,Caroline,Uncertain,10,,Uncertain,10,,Agree,8,
Hoynes,Hilary,Uncertain,5,I am more confident that inequality will rise (wages fall in the lower end) than unemployment rising.,Uncertain,5,,Uncertain,5,
Hurst,Erik,Uncertain,5,"Historically, labor displacing technologies sho up as declines in participation rates not an increase in unemployment rates.",Agree,5,New jibs will be created.  But some high educated workers may end up moving down the job ladder if there job is displaced.,Disagree,5,
Judd,Kenneth,Uncertain,8,There will be serious impacts of AI on the labor force but the impact on unemployment will depend on the sector and country. Many workers will suffer substantial wage loss. Older workers may retire earlier than planned. Unemployment is not indicative of long-run impacts.,Agree,8,Many administrative jobs will be eliminated. Reimbursements at Stanford is increasingly burdensome. Bureaucrats slow the process with silly questions that have easy answers. AI bureaucrats may ask the same questions but they will be faster .... and cheaper!,Agree,8,For 50 years I told students that math and CS courses will give you an advantage no matter what field you end up in. The big change is computers are becoming (as I predicted in my book in 1998) as smart as people. Being smarter than other people used to be enough. Not any more.
Kaplan,Steven,Strongly Disagree,5,Expect increased productivity to lead to more employment over time.  There may be short-term volatility.,Disagree,3,,Disagree,5,We will still need people to tell the AI what to do.
Kashyap,Anil,Disagree,2,"low conviction, but it does not seem to be happening and there are forces that can go in both directions.",Uncertain,3,,Agree,3,"whether it is objectively true that the uncertainty is higher, the perception is likely to be such.  "
Klenow,Pete,Disagree,5,,Agree,5,,Agree,5,We will find out when studies like this one are updated.
Levin,Jonathan,Uncertain,6,,Uncertain,5,,Agree,4,
Maskin,Eric,Uncertain,3,"Many jobs will surely be lost, but we don’t know yet how many new ones will be created.",Agree,4,"High-skilled professionals whose work is repetitive---e.g., radiologists---may be oarticularly affected",Agree,4,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Disagree,2,,Disagree,2,,Uncertain,2,
Pathak,Parag,Agree,1,,Uncertain,1,,Uncertain,1,
Samuelson,Larry,Disagree,6,"AI will eliminate many types of jobs, but will likely open up many new ones, just as with previous technological innovations.",Disagree,6,"AI will decrease the earnings potential of a substantial number of jobs, but will open up earning potential in other types of jobs.",Agree,6,"At this point, AI creates a great deal of uncertainty, in many areas, and is likely to continue to do so."
Scheinkman,José,Agree,6,"As technology  and the China shocks previously, AI will change the relative demand for workers with different skills. Countries with more rigid wages  would face increased  unemployment while other countries should experience wage stagnation and losses.  ",Uncertain,5,,Agree,6,In many sectors affected by AI one sees a drop in the demand for workers entering the labor force. 
Schmalensee,Richard,Uncertain,5,Could be a lot of underemployment.,Agree,3,,Agree,5,
Scott Morton,Fiona,Agree,5,,Agree,5,,Agree,5,
Shapiro,Carl,Uncertain,6,,Agree,4,,Uncertain,5,
Shimer,Robert,Uncertain,3,,Agree,7,Use of artificial intelligence over the next ten years will have a negative impact on some high-skilled workers and a positive impact on others.,Uncertain,3,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stock,James,Uncertain,3,"Seems more likely that there would be a decline in the labor force participation rate as workers made obsolete drop out of the formal labor market, but who knows...",Agree,5,,Agree,4,
Stokey,Nancy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Syverson,Chad,Disagree,6,"I would expect certain occupations to be substantially negatively affected, but countervailing influences and adoption frictions will expectedly mitigate negative overall effects.",Disagree,4,"Could happen in theory, but the early empirical work (and to be fair it is very early) is not showing any sign of this.",Uncertain,5,
Thaler,Richard,Uncertain,1,,Uncertain,1,,Agree,1,Could go either way!
Udry,Christopher,Uncertain,5,,Agree,6,,Agree,6,
Werning,Ivan,Uncertain,6,"Previous forms of automation have not lead to high aggregate unemployment. This technology may, however, be different, so it is uncertain. Unemployment is more likely when displacement is coupled with high unemployment insurance benefits.",Agree,3,"A real possibility reasonable guess give its trend and general purpose nature and basic supply vs demand logic (it proxy well for an increase in supply of high skill labor), but HIGH UNCERTAINTY remains —> low confidence on my ""guesstimate"" (can it push demand out too?).",Agree,3,"Possible since other skills may become relatively more scarce. Best guess, but high UNCERTAINTY —> low confidence in guesstimate. "
