Last Name,First Name,"Over the past 25 years, the income of the median European citizen has declined substantially relative to the income of the median American citizen.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The living standards of the median European are not substantially lower than those of the median American.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,US growth has been relatively strong the last few years while European growth has been barely positive. ,Agree,4,It depends how the term living standards are interpreted. In terms of incomes the median European is not doing well. But in terms of lifestyle people in countries like Italy and France live well. 
Antras,Pol,Uncertain,5,"This is a bit too vague for me to answer definitely. The question is about changes, not levels, and medians not averages. Hard! I imagine the answer is Yes for most European countries, but No for a few Eastern European countries (Poland, Romania) that have grown A LOT since 2001.",Uncertain,5,"Again, lots of heterogeneity there. Plus, it matters whether living standards are just about cost of living, or about other things such as life expectancy or other non-economic factors."
Auriol,Emmanuelle,Disagree,4,,Strongly Agree,8,
Bénassy-Quéré,Agnès,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Uncertain,7,,Agree,7,
Blundell,Richard William,Uncertain,4,,Uncertain,4,
Botticini,Maristella,Strongly Agree,8,,Strongly Agree,8,
Cagé,Julia,Strongly Disagree,8,"This is not what the data tell us. It is important not to rely on market exchange rates, but rather to think in PPP terms. In PPP terms, there is no such decline. Furthermore, productivity has increased at a similar rate in the US and the EU.",Strongly Disagree,8,"I would even say quite the contrary. First, there is no relative decline in income. Second, working hours are lower in Europe, and on average other indicators, such as health outcomes, are better as well. Overall, European countries therefore seem to perform better."
Carletti,Elena,Agree,6,,Agree,6,
Danthine,Jean-Pierre,Uncertain,1,,Agree,1,
De Grauwe,Paul,Disagree,7,,Agree,8,
Eeckhout,Jan,Uncertain,8,"Which income, pre or post tax? It is not clear that pre-tax median income in the US has grown more than in Europe with a higher increase in inequality (US mean has grown more than median). And post-tax median income with more redistribution in most European countries even more so",Uncertain,8,
Fatás,Antonio,Disagree,7,There has been a decrease but I would not use the word substantial given the magnitude.,Disagree,7,Substantially lower sounds much stronger than what the data suggests.
Fuchs-Schündeln,Nicola,Uncertain,8,"The income of the mean citizen in Europe has declined relative to the mean citizen in the US. For the median, I would have to look closer into the data. Also, how do we define the median European citizen? Do we treat Europe as one country?",Uncertain,9,
Galí,Jordi,Uncertain,6,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Strongly Agree,9,,Uncertain,1,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Agree,6,,Agree,8,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,
Guriev,Sergei,Agree,5,,Uncertain,5,
Honohan,Patrick,Disagree,5,"The key is median: income inequality in Europe as a whole seems to have been declining, but not in the US.  If the median income gap is widening, probably it is not by much. Garicano points are valid, but would not sufficiently affect this particular metric..  ",Uncertain,5,"Too much lifestyle variation across Europe, and different degrees of government provision of welfare services to be sure. Measured disposable income differences are not dispositive. "
Javorcik,Beata,Disagree,5,,Agree,8,
Kőszegi,Botond,Disagree,3,"It really depends on where the median European citizen lives. It may well be in a country like Czechia or Slovenia, which converged toward the US in the last 25 years.  ",Disagree,8,The median European citizen does not live in the highest-income countries.
Krahnen,Jan Pieter,Uncertain,6,"My hunch is that the discrepancies in income between US and EU have risen at the upper and lower quartile in opposite directions - but they were constant for the median household. The gap is negative in the upper quartile (US>EU), and negative in the lowest quartile (EU>US.",Agree,5,"The attention of observers is mostly focused on the upper end of income levels and living standards where US level seems to be substantially above the European ones. But for the median household these differences are much smaller, or do not exist at all."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,5,"There is relative decline for median citizen or household but it is modest when income is adj. for taxes, inflation & PPP. It is more pronounced using GDP per capita at market exch rates or when comparing top of income distribution. Also not a decline against all countries.",Agree,5,"Large gap if liv stds = GDP/capita at current rates. But adjusting for PPP & hours worked, US & North-Western Europe are close in income. Not true for all of Europe. If liv stds include health care, education, public services (& happiness), no gap or much of Europe ahead of US."
Manova,Kalina,Agree,7,,Disagree,7,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,9,,Agree,9,
Pagano,Marco,Disagree,9,,Disagree,8,
Papaioannou,Elias,Disagree,8,,Agree,10,"Various pieces of evidence show much higher life expectancy, lower infant mortality rates and morbidity, and much lower deaths of despair. 
Regional and ethnic inequalities are much lower in Europe. 
Even upward intergenerational mobility is HIGHER in many EU countries. "
Pastor,Lubos,Strongly Agree,9,,Disagree,9,"Besides lower incomes, Europeans also have less personal comfort: smaller homes, no air-conditioning, fewer cars, more red tape. They tend to work less and compete less, which can be viewed as a plus or minus depending on how much you like your job and how competitive you are."
Portes,Richard,Agree,10,,Strongly Disagree,10,
