Last Name,First Name,Requiring most green card applicants to apply for permanent residency from overseas would lead to a substantial reduction in the numbers of skilled immigrants in the US.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Requiring most green card applicants to apply for permanent residency from overseas would have a measurably adverse impact on a substantial number of US businesses.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,4,,Agree,4,
Aguiar,Mark,Strongly Agree,7,,Strongly Agree,7,
Altonji,Joseph,Agree,5,,Agree,8,
Auerbach,Alan,Agree,5,,Agree,5,
Autor,David,Agree,8,,Agree,7,
Banerjee,Abhijit,Agree,5,,Agree,5,
Bergemann,Dirk,Agree,7,,Agree,7,
Bertrand,Marianne,Agree,7,,Agree,7,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,7,,Strongly Agree,8,
Cutler,David,Agree,3,,Agree,5,
Duffie,Darrell,Uncertain,2,"How many of these immigrants are skilled and will ultimately prevented from getting green cards because of this policy? Not sure. So whether the effect is ""substantial"" is uncertain  to me. It does look like a bad policy..",Agree,2,
Edlin,Aaron,Agree,7,,Agree,6,
Eichengreen,Barry,Strongly Agree,5,,Strongly Agree,5,
Einav,Liran,Uncertain,1,,Uncertain,1,
Fair,Ray,Agree,5,,Agree,5,
Glaeser,Edward,Agree,8,,Agree,8,
Goldberg,Pinelopi,Disagree,5,"It would have a negative, but small effect.",Disagree,5,"Again, the expected effect would be negative, but small."
Greenstone,Michael,Strongly Agree,7,,Strongly Agree,7,See the important research on H1-B's
Hart,Oliver,Agree,6,,Agree,7,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Agree,3,"Certainly will reduce but unsure if it will be ""substantial""",Agree,4,
Hurst,Erik,Agree,6,,Uncertain,6,
Judd,Kenneth,Agree,7,"The impact depends on just what it means to go ""overseas"". Americans do not know how costly this could be. There is no point to this rule. Just an attack on immigration.",Agree,8,
Kaplan,Steven,Agree,3,A bad idea.,Uncertain,5,Businesses can adjust
Kashyap,Anil,Strongly Agree,9,"hard to tell if they really will follow through on this, but a change in this direction if enforced would greatly complicate the process for people in many countries ",Agree,5,
Klenow,Pete,Agree,4,,Agree,6,
Levin,Jonathan,Agree,4,,Agree,4,
Maskin,Eric,Agree,5,,Agree,4,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Strongly Agree,3,,Agree,2,
Pathak,Parag,Agree,1,,Uncertain,1,
Samuelson,Larry,Agree,6,,Agree,6,The desire of people abroad to work in the US is one of the United States' greatest assets.  Putting obstacles in the way of legal immigration devalues this asset.
Scheinkman,José,Agree,7,"About 500000 apply each year for a green card while present in the US, including many high-skilled. If they must abandon current employment and move elsewhere, a noticeable fraction could make that move permanent. ",Agree,6,
Schmalensee,Richard,No Opinion,,Don't know enough.,No Opinion,,Don't know enough.
Scott Morton,Fiona,Agree,6,,Agree,9,
Shapiro,Carl,Uncertain,3,,Strongly Agree,8,
Shimer,Robert,Agree,8,,Agree,6,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,
Stock,James,Did Not Answer,,,Did Not Answer,,
Syverson,Chad,Strongly Agree,10,This is a stupid proposal.,Strongly Agree,10,This is a stupid proposal.
Thaler,Richard,Strongly Agree,5,,Strongly Agree,5,
Udry,Christopher,Agree,4,"I don't know if it will be substantial, but it will have a negative impact. It's a ridiculous idea.",Agree,4,"Again uncertain about magnitude, but the direction is obvious and negative."
Werning,Ivan,Did Not Answer,,,Did Not Answer,,
